param_id,Death_Rate,value,Region,diseases,years
PM10,10.58,0.72,Gippsland,COPD,07-11
O3,10.58,0.624,Gippsland,COPD,07-11
NO2,10.58,0.289,Gippsland,COPD,07-11
API,10.58,0.026,Gippsland,COPD,07-11
SO2,9.54,0.034,Geelong,COPD,07-11
PM10,9.54,0.71,Geelong,COPD,07-11
O3,9.54,0.665,Geelong,COPD,07-11
NO2,9.54,0.229,Geelong,COPD,07-11
CO,9.54,0.006999999999999999,Geelong,COPD,07-11
API,9.54,0.019,Geelong,COPD,07-11
SO2,4.54,-0.021,East_Metro,COPD,07-11
PM10,4.54,0.6509999999999999,East_Metro,COPD,07-11
O3,4.54,0.667,East_Metro,COPD,07-11
NO2,4.54,0.361,East_Metro,COPD,07-11
CO,4.54,0.011,East_Metro,COPD,07-11
API,4.54,0.023,East_Metro,COPD,07-11
API,17.6,0.023,East_Metro,Ischaemic-Heart-Disease,07-11
CO,17.6,0.011,East_Metro,Ischaemic-Heart-Disease,07-11
NO2,17.6,0.361,East_Metro,Ischaemic-Heart-Disease,07-11
O3,17.6,0.667,East_Metro,Ischaemic-Heart-Disease,07-11
PM10,17.6,0.6509999999999999,East_Metro,Ischaemic-Heart-Disease,07-11
SO2,17.6,-0.021,East_Metro,Ischaemic-Heart-Disease,07-11
API,28.73,0.019,Geelong,Ischaemic-Heart-Disease,07-11
CO,28.73,0.006999999999999999,Geelong,Ischaemic-Heart-Disease,07-11
NO2,28.73,0.229,Geelong,Ischaemic-Heart-Disease,07-11
O3,28.73,0.665,Geelong,Ischaemic-Heart-Disease,07-11
PM10,28.73,0.71,Geelong,Ischaemic-Heart-Disease,07-11
SO2,28.73,0.034,Geelong,Ischaemic-Heart-Disease,07-11
API,32.19,0.026,Gippsland,Ischaemic-Heart-Disease,07-11
NO2,32.19,0.289,Gippsland,Ischaemic-Heart-Disease,07-11
O3,32.19,0.624,Gippsland,Ischaemic-Heart-Disease,07-11
PM10,32.19,0.72,Gippsland,Ischaemic-Heart-Disease,07-11
SO2,32.19,0.087,Gippsland,Ischaemic-Heart-Disease,07-11
API,26.5,0.021,NorthE_Metro,Ischaemic-Heart-Disease,07-11
CO,26.5,0.009000000000000001,NorthE_Metro,Ischaemic-Heart-Disease,07-11
NO2,26.5,0.344,NorthE_Metro,Ischaemic-Heart-Disease,07-11
O3,26.5,0.604,NorthE_Metro,Ischaemic-Heart-Disease,07-11
PM10,26.5,0.667,NorthE_Metro,Ischaemic-Heart-Disease,07-11
PPM2.5,26.5,0.265,NorthE_Metro,Ischaemic-Heart-Disease,07-11
SO2,26.5,0.036000000000000004,NorthE_Metro,Ischaemic-Heart-Disease,07-11
API,24.94,0.022,South_Metro,Ischaemic-Heart-Disease,07-11
NO2,24.94,0.34700000000000003,South_Metro,Ischaemic-Heart-Disease,07-11
O3,24.94,0.6940000000000001,South_Metro,Ischaemic-Heart-Disease,07-11
PM10,24.94,0.63,South_Metro,Ischaemic-Heart-Disease,07-11
