sp_name,year,month,param_id,value
Footscray,2016,5,PPM2.5,74.30000000000001
Footscray,2016,6,BPM2.5,5743.800001703001
Footscray,2016,6,CO,131.5000018019997
Footscray,2016,6,NO2,9208.0
Footscray,2016,6,O3,7314.0
Footscray,2016,6,PM10,8547.500002841996
Footscray,2016,6,PPM2.5,79.3
Footscray,2016,7,BPM2.5,4459.100007242001
Footscray,2016,7,CO,56.10000065499989
Footscray,2016,7,NO2,7726.0
Footscray,2016,7,O3,5880.0
Footscray,2016,7,PM10,8680.199995608
Footscray,2016,7,PPM2.5,64.8
Footscray,2016,8,BPM2.5,4642.399998392999
Footscray,2016,8,CO,121.80000188999911
Footscray,2016,8,NO2,8738.0
Footscray,2016,8,PM10,8733.900003053
Footscray,2016,8,PPM2.5,18.2
Footscray,2016,9,BPM2.5,2704.3999956990006
Footscray,2016,9,CO,97.70000151099946
Footscray,2016,9,NO2,6564.0
Footscray,2016,9,PM10,7613.700013714003
Footscray,2016,9,PPM2.5,46.9
Footscray,2016,10,BPM2.5,3592.800002687
Footscray,2016,10,CO,83.00000120399946
Footscray,2016,10,NO2,3686.0
Footscray,2016,10,PM10,5704.000003211998
Footscray,2016,10,PPM2.5,44.0
Footscray,2016,11,BPM2.5,4752.700005278997
Footscray,2016,11,CO,90.9000007929995
Footscray,2016,11,NO2,4940.0
Footscray,2016,11,O3,1829.0
Footscray,2016,11,PM10,12972.199988464996
Footscray,2016,11,PPM2.5,63.599999999999994
Footscray,2016,12,BPM2.5,5120.900003702998
Footscray,2016,12,CO,80.70000115899948
Footscray,2016,12,NO2,5356.0
Footscray,2016,12,O3,12339.0
Footscray,2016,12,PM10,15027.500009364985
Footscray,2016,12,PPM2.5,65.6
Geelong South,2016,1,API,396.2899993809996
Geelong South,2016,1,CO,63.700000812999754
Geelong South,2016,1,NO2,2061.0
Geelong South,2016,1,O3,11518.0
Geelong South,2016,1,PM10,13265.099992607999
Geelong South,2016,1,SO2,185.0
Geelong South,2016,2,API,265.17999969900023
Geelong South,2016,2,CO,67.4000010549997
Geelong South,2016,2,NO2,3128.0
Geelong South,2016,2,O3,9652.0
Geelong South,2016,2,PM10,13431.899983999
Geelong South,2016,2,SO2,135.0
Geelong South,2016,3,API,262.1800003740002
Geelong South,2016,3,CO,67.20000098999971
Geelong South,2016,3,NO2,3554.0
Geelong South,2016,3,O3,11862.0
Geelong South,2016,3,PM10,13162.799991330996
Geelong South,2016,3,SO2,142.0
Geelong South,2016,4,API,322.6999997220003
Geelong South,2016,4,CO,80.50000125699978
Geelong South,2016,4,NO2,6116.0
Geelong South,2016,4,O3,9880.0
Geelong South,2016,4,PM10,14447.799985086
Geelong South,2016,4,SO2,350.0
Geelong South,2016,5,API,329.7800002289996
Geelong South,2016,5,CO,88.50000089599986
Geelong South,2016,5,NO2,5989.0
Geelong South,2016,5,O3,11213.0
Geelong South,2016,5,PM10,13265.200021930003
Geelong South,2016,5,SO2,257.0
Geelong South,2016,6,API,346.3900000369997
Geelong South,2016,6,CO,154.00000227600108
Geelong South,2016,6,NO2,6319.0
Geelong South,2016,6,O3,9690.0
Geelong South,2016,6,PM10,8874.900013407007
Geelong South,2016,6,SO2,276.0
Geelong South,2016,7,API,294.61000026600004
Geelong South,2016,7,CO,127.60000183899935
Geelong South,2016,7,NO2,4732.0
Geelong South,2016,7,O3,13036.0
Geelong South,2016,7,PM10,7142.900006837998
Geelong South,2016,7,SO2,174.0
Geelong South,2016,8,API,303.37000051899986
Geelong South,2016,8,BPM2.5,2718.099997049999
Geelong South,2016,8,CO,117.3000015799993
Geelong South,2016,8,NO2,6092.0
Geelong South,2016,8,O3,11739.0
Geelong South,2016,8,PM10,9871.600003283
Geelong South,2016,8,SO2,220.0
Geelong South,2016,9,API,259.4100000069997
Geelong South,2016,9,BPM2.5,2933.5999999060014
Geelong South,2016,9,CO,62.70000084599989
Geelong South,2016,9,NO2,4094.0
Geelong South,2016,9,O3,12822.0
Geelong South,2016,9,PM10,6496.0999999529995
Geelong South,2016,9,SO2,129.0
Geelong South,2016,10,API,265.98000045200007
Geelong South,2016,10,BPM2.5,3576.8999969659994
Geelong South,2016,10,CO,79.30000106099939
Geelong South,2016,10,NO2,3140.0
Geelong South,2016,10,O3,13506.0
Geelong South,2016,10,PM10,13326.399986952998
Geelong South,2016,10,SO2,169.0
Geelong South,2016,11,API,298.199999731
Geelong South,2016,11,BPM2.5,3728.399998316001
Geelong South,2016,11,CO,73.70000091599958
Geelong South,2016,11,NO2,2424.0
Geelong South,2016,11,O3,11534.0
Geelong South,2016,11,PM10,12854.099962848992
Geelong South,2016,11,SO2,79.0
Geelong South,2016,12,API,349.95999898700006
Geelong South,2016,12,BPM2.5,3876.1999979499997
Geelong South,2016,12,CO,97.00000145899949
Geelong South,2016,12,NO2,2752.0
Geelong South,2016,12,O3,14180.0
Geelong South,2016,12,PM10,14898.400005752996
Geelong South,2016,12,SO2,168.0
Melton,2016,1,O3,13064.0
Melton,2016,2,O3,11525.0
Melton,2016,3,O3,12957.0
Melton,2016,4,O3,11037.0
Melton,2016,5,O3,4581.0
Melton,2016,11,O3,8923.0
Melton,2016,12,O3,14298.0
Moe,2016,1,BPM2.5,4937.300011986003
Moe,2016,2,BPM2.5,4811.400009964996
Moe,2016,3,BPM2.5,4553.3000068790025
Moe,2016,4,BPM2.5,7960.599999602998
Moe,2016,5,BPM2.5,4849.999994929
Moe,2016,6,BPM2.5,4387.4000055490005
Moe,2016,7,BPM2.5,4069.200000261999
Moe,2016,8,BPM2.5,4923.299990268994
Moe,2016,9,BPM2.5,3509.999997092
Moe,2016,10,BPM2.5,3376.7000000179964
Moe,2016,11,BPM2.5,3592.100005852998
Moe,2016,12,BPM2.5,4633.200011748001
Mooroolbark,2016,1,API,395.5899992649998
Mooroolbark,2016,1,O3,12363.0
Mooroolbark,2016,1,PM10,11286.499991427
Mooroolbark,2016,2,API,321.54999949100056
Mooroolbark,2016,2,O3,10962.0
Mooroolbark,2016,2,PM10,12805.399985827995
Mooroolbark,2016,3,API,380.8999998499999
Mooroolbark,2016,3,O3,12418.0
Mooroolbark,2016,3,PM10,11853.099997423995
Mooroolbark,2016,4,API,508.49000008400026
Mooroolbark,2016,4,O3,9746.0
Mooroolbark,2016,4,PM10,13603.900005089996
Mooroolbark,2016,5,API,383.5899995830003
Mooroolbark,2016,5,O3,1748.0
Mooroolbark,2016,5,PM10,9209.099981099995
Mooroolbark,2016,6,API,418.85000000699904
Mooroolbark,2016,6,PM10,7329.4999996459965
Mooroolbark,2016,7,API,359.68999962599923
Mooroolbark,2016,7,PM10,6402.700005612997
Mooroolbark,2016,8,API,343.14999945799906
Mooroolbark,2016,8,PM10,7220.500003024002
Mooroolbark,2016,9,API,289.0400000499997
Mooroolbark,2016,9,PM10,5367.300006892996
Mooroolbark,2016,10,API,262.83000022099964
Mooroolbark,2016,10,PM10,7799.699986615
Mooroolbark,2016,11,API,306.6599993039998
Mooroolbark,2016,11,O3,423.0
Mooroolbark,2016,11,PM10,9153.100010339002
Mooroolbark,2016,12,API,332.5900003050005
Mooroolbark,2016,12,O3,13083.0
Mooroolbark,2016,12,PM10,8853.799991794
Morwell East,2016,1,API,355.8600004089999
Morwell East,2016,1,BPM2.5,4663.900009596001
Morwell East,2016,1,CO,38.30000072999992
Morwell East,2016,1,SO2,611.0
Morwell East,2016,2,API,307.66000007000014
Morwell East,2016,2,BPM2.5,4439.899997075999
Morwell East,2016,2,CO,40.50000067500005
Morwell East,2016,2,SO2,774.0
Morwell East,2016,3,API,248.97999865599994
Morwell East,2016,3,BPM2.5,2632.900004107998
Morwell East,2016,3,CO,15.900000200999964
Morwell East,2016,3,SO2,214.0
Morwell East,2016,4,API,532.3400000850006
Morwell East,2016,4,BPM2.5,7865.800001372998
Morwell East,2016,4,CO,167.40000248499982
Morwell East,2016,4,SO2,313.0
Morwell East,2016,5,API,279.17999961100014
Morwell East,2016,5,BPM2.5,5378.499998739006
Morwell East,2016,5,CO,61.70000109499984
Morwell East,2016,5,SO2,265.0
Morwell East,2016,6,BPM2.5,4692.300001582003
Morwell East,2016,6,CO,209.30000345000246
Morwell East,2016,6,SO2,8.0
Morwell East,2016,7,API,118.69000031799989
Morwell East,2016,7,BPM2.5,4812.900008426
Morwell East,2016,7,CO,97.70000150999962
Morwell East,2016,7,SO2,129.0
Morwell East,2016,8,API,359.81000072699993
Morwell East,2016,8,BPM2.5,3535.4999990420006
Morwell East,2016,8,CO,134.2000021789995
Morwell East,2016,8,SO2,46.0
Morwell East,2016,9,API,299.1599996599998
Morwell East,2016,9,CO,95.40000141999938
Morwell East,2016,9,SO2,45.0
Morwell East,2016,10,API,268.8200008029998
Morwell East,2016,10,CO,62.80000088599962
Morwell East,2016,10,SO2,67.0
Morwell East,2016,11,API,296.7899991579998
Morwell East,2016,11,BPM2.5,3712.499995502
Morwell East,2016,11,CO,39.30000050500007
Morwell East,2016,11,SO2,458.0
Morwell East,2016,12,API,344.80999929399985
Morwell East,2016,12,BPM2.5,3755.0999982360026
Morwell East,2016,12,CO,34.000000519000025
Morwell East,2016,12,SO2,722.0
Morwell South,2016,1,API,253.20000066800014
Morwell South,2016,1,BPM2.5,5048.599997007996
Morwell South,2016,1,CO,28.6000004240001
Morwell South,2016,1,NO2,2819.0
Morwell South,2016,1,O3,11276.0
Morwell South,2016,1,SO2,668.0
Morwell South,2016,2,API,364.279999645
Morwell South,2016,2,BPM2.5,5013.499997346002
Morwell South,2016,2,CO,15.500000214999977
Morwell South,2016,2,NO2,2761.0
Morwell South,2016,2,O3,10328.0
Morwell South,2016,2,SO2,729.0
Morwell South,2016,3,API,389.5199998949997
Morwell South,2016,3,BPM2.5,4620.400003997998
Morwell South,2016,3,CO,45.40000051999998
Morwell South,2016,3,NO2,3476.0
Morwell South,2016,3,O3,11654.0
Morwell South,2016,3,SO2,509.0
Morwell South,2016,4,API,571.3700002680005
Morwell South,2016,4,BPM2.5,7544.499984651005
Morwell South,2016,4,CO,115.50000211399944
Morwell South,2016,4,NO2,5242.0
Morwell South,2016,4,O3,8589.0
Morwell South,2016,4,SO2,412.0
Morwell South,2016,5,API,252.82000091400008
Morwell South,2016,5,BPM2.5,4553.000004342997
Morwell South,2016,5,CO,94.80000153099948
Morwell South,2016,5,NO2,4501.0
Morwell South,2016,5,O3,10896.0
Morwell South,2016,5,SO2,194.0
Morwell South,2016,6,API,183.17999988299994
Morwell South,2016,6,BPM2.5,3941.300001465
Morwell South,2016,6,CO,112.90000178199928
Morwell South,2016,6,NO2,4453.0
Morwell South,2016,6,O3,2504.0
Morwell South,2016,6,SO2,116.0
Morwell South,2016,7,API,345.46999965999987
Morwell South,2016,7,BPM2.5,3177.2000020620026
Morwell South,2016,7,CO,108.8000016539992
Morwell South,2016,7,NO2,4133.0
Morwell South,2016,7,O3,9589.0
Morwell South,2016,7,SO2,347.0
Morwell South,2016,8,API,386.9200002589997
Morwell South,2016,8,BPM2.5,4480.600010277998
Morwell South,2016,8,CO,110.20000180499913
Morwell South,2016,8,NO2,5049.0
Morwell South,2016,8,O3,10888.0
Morwell South,2016,8,SO2,276.0
Morwell South,2016,9,API,314.5099998579995
Morwell South,2016,9,BPM2.5,3070.0999974379974
Morwell South,2016,9,CO,88.20000119999929
Morwell South,2016,9,NO2,3558.0
Morwell South,2016,9,O3,12354.0
Morwell South,2016,9,SO2,294.0
Morwell South,2016,10,API,280.55000035800015
Morwell South,2016,10,BPM2.5,3373.100000898003
Morwell South,2016,10,CO,73.60000085899952
Morwell South,2016,10,NO2,2793.0
Morwell South,2016,10,O3,13832.0
Morwell South,2016,10,SO2,464.0
Morwell South,2016,11,API,297.91999931899966
Morwell South,2016,11,BPM2.5,3977.300007868998
Morwell South,2016,11,CO,70.60000091999962
Morwell South,2016,11,NO2,2416.0
Morwell South,2016,11,O3,11621.0
Morwell South,2016,11,SO2,470.0
Morwell South,2016,12,API,354.31999924900015
Morwell South,2016,12,BPM2.5,5010.100006243
Morwell South,2016,12,CO,66.60000089099977
Morwell South,2016,12,NO2,2824.0
Morwell South,2016,12,O3,12166.0
Morwell South,2016,12,SO2,722.0
Point Cook,2016,1,API,399.0799989930004
Point Cook,2016,1,O3,12787.0
Point Cook,2016,2,API,261.5899998389999
Point Cook,2016,2,O3,10969.0
Point Cook,2016,3,API,12.040000095000002
Point Cook,2016,3,O3,13790.0
Point Cook,2016,4,API,345.65999973299967
Point Cook,2016,4,O3,11134.0
Point Cook,2016,5,API,307.789999422
Point Cook,2016,5,O3,12082.0
Point Cook,2016,6,API,342.44999999799927
Point Cook,2016,7,API,214.88999936699994
Point Cook,2016,8,API,264.14000091200006
Point Cook,2016,9,API,246.06000012000018
Point Cook,2016,10,API,241.0300001610002
Point Cook,2016,11,API,276.2499999570002
Point Cook,2016,11,O3,8552.0
Point Cook,2016,12,API,334.1399998639998
Point Cook,2016,12,O3,14537.0
Richmond,2016,1,API,413.40999899499957
Richmond,2016,1,PM10,10198.100003949996
Richmond,2016,2,API,8.53000003
Richmond,2016,2,PM10,11203.900011054002
Richmond,2016,3,PM10,12122.300004340006
Richmond,2016,4,PM10,13518.999984485003
Richmond,2016,5,PM10,160.999999497
Traralgon,2016,1,API,382.4400001429999
Traralgon,2016,1,BPM2.5,4930.500020350004
Traralgon,2016,1,CO,66.20000088299976
Traralgon,2016,1,NO2,4248.0
Traralgon,2016,1,O3,10323.0
Traralgon,2016,1,PM10,10230.600007863997
Traralgon,2016,1,SO2,564.0
Traralgon,2016,2,API,344.7899996550005
Traralgon,2016,2,BPM2.5,4961.799999193004
Traralgon,2016,2,CO,72.70000105699953
Traralgon,2016,2,NO2,3267.0
Traralgon,2016,2,O3,9635.0
Traralgon,2016,2,PM10,11270.100016152996
Traralgon,2016,2,SO2,507.0
Traralgon,2016,3,API,383.13999964
Traralgon,2016,3,BPM2.5,5455.59999784
Traralgon,2016,3,CO,92.3000013139993
Traralgon,2016,3,NO2,3920.0
Traralgon,2016,3,O3,10386.0
Traralgon,2016,3,PM10,9587.700003499998
Traralgon,2016,3,SO2,869.0
Traralgon,2016,4,API,30.799999890999995
Traralgon,2016,4,BPM2.5,8255.400010377998
Traralgon,2016,4,CO,156.5000026609996
Traralgon,2016,4,NO2,5465.0
Traralgon,2016,4,O3,7580.0
Traralgon,2016,4,PM10,14875.499976826
Traralgon,2016,4,SO2,773.0
Traralgon,2016,5,API,391.839999969001
Traralgon,2016,5,BPM2.5,6291.799997878995
Traralgon,2016,5,CO,163.20000255500045
Traralgon,2016,5,NO2,5616.0
Traralgon,2016,5,O3,8968.0
Traralgon,2016,5,PM10,9089.699987257
Traralgon,2016,5,SO2,779.0
Traralgon,2016,6,API,422.2199984600001
Traralgon,2016,6,BPM2.5,5245.599999278995
Traralgon,2016,6,CO,191.4000031980019
Traralgon,2016,6,NO2,5484.0
Traralgon,2016,6,O3,7875.0
Traralgon,2016,6,PM10,7825.099999217004
Traralgon,2016,6,SO2,647.0
Traralgon,2016,7,API,404.56999969399993
Traralgon,2016,7,BPM2.5,5780.2999913500025
Traralgon,2016,7,CO,155.30000239400135
Traralgon,2016,7,NO2,5218.0
Traralgon,2016,7,O3,9612.0
Traralgon,2016,7,PM10,8023.200004858007
Traralgon,2016,7,SO2,1116.0
Traralgon,2016,8,API,393.16000064000013
Traralgon,2016,8,BPM2.5,6647.2999995320015
Traralgon,2016,8,CO,180.10000285600117
Traralgon,2016,8,NO2,5786.0
Traralgon,2016,8,O3,9556.0
Traralgon,2016,8,PM10,8953.699999007995
Traralgon,2016,8,SO2,747.0
Traralgon,2016,9,API,321.1899994650004
Traralgon,2016,9,BPM2.5,4628.600003501001
Traralgon,2016,9,CO,124.20000220299944
Traralgon,2016,9,NO2,3927.0
Traralgon,2016,9,O3,11331.0
Traralgon,2016,9,PM10,7728.499999276005
Traralgon,2016,9,SO2,444.0
Traralgon,2016,10,API,273.900000212
Traralgon,2016,10,BPM2.5,4263.600000033998
Traralgon,2016,10,CO,89.60000127999947
Traralgon,2016,10,NO2,3039.0
